"countrycode","year","cluster","requirements","funding","percentfunded"
"BFA","2013","HEALTH","5728238","1382580","24"
"BFA","2013","MULTI-SECTOR FOR REFUGEES","53442609","28172103","53"
"BFA","2013","NUTRITION","32845903","19266326","59"
"BFA","2013","WASH","6338827","2704051","43"
"BFA","2012","AGRICULTURE","20252413","5636409","28"
"BFA","2012","CHILD PROTECTION","509600","363667","71"
"BFA","2012","COORDINATION","1235189","297000","24"
"BFA","2012","FOOD ASSISTANCE","40993461","37536633","92"
"BFA","2012","HEALTH","5381330","2550577","47"
"BFA","2012","MULTI-SECTOR","30485791","10792948","35"
"BFA","2012","NUTRITION","25644967","25528739","100"
"BFA","2012","WASH","1559400","2222254","143"
"BFA","2010","Food Aid","3419218","2652003","78"
"BFA","2010","Health","1608809","473396","29"
"BFA","2010","Nutrition","2846664","488354","17"
"BFA","2010","WASH","1313822","282822","22"
"BFA","2009","AGRICULTURE","1050000","1557584","148"
"BFA","2009","EDUCATION","1600000","930001","58"
"BFA","2009","FOOD AID","3315000","1956170","59"
"BFA","2009","HEALTH","1546801","1210044","78"
"BFA","2009","NUTRITION","690291","1067189","155"
"BFA","2009","SHELTER AND NON-FOOD ITEMS","7900000","968253","12"
"BFA","2009","WATER, SANITATION AND HYGIENE","1667000","192485","12"
"BFA","2007","AGRICULTURE","1727000","1074056","62"
"BFA","2007","HEALTH","1800000","83228","5"
"BFA","2007","NUTRITION","60000","60000","100"
"BFA","2007","WATER, SANITATION & HYGIENE","570000","40000","7"
"BGD","2025","Education","1519169","7628","1"
"BGD","2025","Food Security and Agriculture","18663581","492924","3"
"BGD","2025","Health","2258482","751800","33"
"BGD","2025","Nutrition","52500","4505762","8582"
"BGD","2025","Shelter","3560823","719234","20"
"BGD","2025","Water, Sanitation and Hygiene (WASH)","4985053","1468858","29"
"BGD","2025","Bhasan Char Response","46540946","29304417","63"
"BGD","2025","Coordination","9179739","6116207","67"
"BGD","2025","Education","71517783","16389885","23"
"BGD","2025","Food Security","287082160","221465991","77"
"BGD","2025","Health","92336431","36132412","39"
"BGD","2025","Livelihoods and Skills Development","41970058","20029029","48"
"BGD","2025","Nutrition","44927256","24783347","55"
"BGD","2025","Protection","90795183","28915127","32"
"BGD","2025","Shelter-CCCM","176808846","32117070","18"
"BGD","2025","Water Sanitation and Hygiene","73362615","23509047","32"
"BGD","2024","Displacement Management","5871940","117746","2"
"BGD","2024","Education","2624169","166492","6"
"BGD","2024","Food Security and Agriculture","38927193","12568263","32"
"BGD","2024","Health","5874594","1884120","32"
"BGD","2024","Nutrition","276892","29362","11"
"BGD","2024","Protection","11612127","1622048","14"
"BGD","2024","Shelter","13861920","787539","6"
"BGD","2024","Water, Sanitation and Hygiene (WASH)","19572052","2930256","15"
"BGD","2024","Bhasan Char Response","68375450","35400611","52"
"BGD","2024","Coordination","8556525","3581946","42"
"BGD","2024","Education","68453716","41276997","60"
"BGD","2024","Food Security","232081986","192127357","83"
"BGD","2024","Health","86810515","23156831","27"
"BGD","2024","Livelihoods and Skills Development","35339980","11432853","32"
"BGD","2024","Nutrition","44584007","37940378","85"
"BGD","2024","Protection","80492293","33239712","41"
"BGD","2024","Shelter-CCCM","157641607","37524571","24"
"BGD","2024","Water Sanitation and Hygiene","70024703","17244365","25"
"BGD","2023","Bhasan Char Response","67406017","24125891","36"
"BGD","2023","Coordination","11335639","3021730","27"
"BGD","2023","Education","71186346","39031244","55"
"BGD","2023","Food Security","234840933","215784907","92"
"BGD","2023","Health","97325626","48234663","50"
"BGD","2023","Livelihoods and Skills Development","36565947","28550925","78"
"BGD","2023","Nutrition","40044297","19350735","48"
"BGD","2023","Protection","76618044","32399263","42"
"BGD","2023","Shelter/Non-Food Items","92227933","41330981","45"
"BGD","2023","Site Management and Site Development","68470197","10501575","15"
"BGD","2023","Water Sanitation and Hygiene","78756386","37496727","48"
"BGD","2022","Bhasan Char Response","99700000","94446678","95"
"BGD","2022","Communication with Communities","7956174","993922","12"
"BGD","2022","Coordination and Staff Health","8665323","6175330","71"
"BGD","2022","Education","70492522","22949110","33"
"BGD","2022","Emergency Telecommunications","1725847","300000","17"
"BGD","2022","Food Security","209493422","254406269","121"
"BGD","2022","Health","110843179","25920585","23"
"BGD","2022","Logistics","900000","1087809","121"
"BGD","2022","Nutrition","35720701","26010601","73"
"BGD","2022","Protection","75328773","29541435","39"
"BGD","2022","Shelter/Non-Food Items","92985134","19669411","21"
"BGD","2022","Site Management and Site Development","80179327","16804092","21"
"BGD","2022","Water Sanitation and Hygiene","87040378","14577583","17"
"BGD","2021","Communication with Communities","9999679","3115100","31"
"BGD","2021","Coordination and Staff Health","10300000","7328560","71"
"BGD","2021","Education","84997709","27044824","32"
"BGD","2021","Emergency Telecommunications","3878073","1000000","26"
"BGD","2021","Food Security","247209377","158136733","64"
"BGD","2021","Health","134960124","48646124","36"
"BGD","2021","Nutrition","42362760","18215697","43"
"BGD","2021","Protection","91964638","63638986","69"
"BGD","2021","Shelter/Non-Food Items","111987367","26593993","24"
"BGD","2021","Site Management and Site Development","94163623","13058186","14"
"BGD","2021","Water Sanitation and Hygiene","109700000","34658681","32"
"BGD","2020","Child Protection COVID-19","3626500","113990","3"
"BGD","2020","Education COVID-19","1485000","2100000","141"
"BGD","2020","Food Security COVID-19","20738592","17518258","84"
"BGD","2020","Health COVID-19","103800000","13062915","13"
